Set,Fold,Specificity,Recall,Precision,Accuracy,F1,MCC,AUC,AUPR,TR
0,1,0.998963999,0.35,0.636363636,0.995619686,0.451612903,0.469995499,0.975161875,0.426580547,0.35467204
0,2,1,0.352941176,1,0.997165679,0.52173913,0.593244704,0.991611862,0.503863806,0.40784496
0,3,0.998965606,0.571428571,0.666666667,0.997423344,0.615384615,0.615936867,0.97301341,0.483486351,0.39773378
0,4,0.998703656,0.208333333,0.5,0.993816027,0.294117647,0.320159798,0.974429609,0.282302713,0.32599485
0,5,0.99766779,0.285714286,0.4,0.993814433,0.333333333,0.335041832,0.917792668,0.260027452,0.24146347
1,1,0.998186059,0.545454545,0.631578947,0.995619686,0.585365854,0.584760032,0.958544371,0.562794426,0.36559406
1,2,0.999483471,0.555555556,0.714285714,0.998454007,0.625,0.629192622,0.985307622,0.487871162,0.36830422
1,3,0.996371177,0.434782609,0.416666667,0.99304303,0.425531915,0.422130559,0.982520792,0.378695549,0.15470035
1,4,0.999222798,0.333333333,0.7,0.995619686,0.451612903,0.48123441,0.9607698,0.397029058,0.4226843
1,5,0.999740866,0.238095238,0.833333333,0.995618557,0.37037037,0.444088354,0.965818927,0.333651658,0.36757272
2,1,0.999221992,0.32,0.727272727,0.994846689,0.444444444,0.480374002,0.971099585,0.401137098,0.25609946
2,2,0.997928534,0.578947368,0.578947368,0.995877351,0.578947368,0.576875903,0.982079097,0.534500803,0.11764304
2,3,1,0.2,1,0.996908013,0.333333333,0.446521135,0.96525263,0.266316008,0.3618144
2,4,0.997928534,0.473684211,0.529411765,0.99536202,0.5,0.498454417,0.967292649,0.425539961,0.15690257
2,5,0.998964267,0.333333333,0.6,0.995876289,0.428571429,0.445362976,0.942998734,0.408924352,0.4367751
3,1,0.998446803,0.388888889,0.538461538,0.995619686,0.451612903,0.455481996,0.956503293,0.331766023,0.3626997
3,2,0.994049159,0.75,0.342857143,0.99304303,0.470588235,0.504310149,0.984500323,0.425274164,0.08240947
3,3,0.999741201,0.294117647,0.833333333,0.996650348,0.434782609,0.493935582,0.974683352,0.411081672,0.3562641
3,4,0.995082816,0.764705882,0.40625,0.994073692,0.530612245,0.554864454,0.939578005,0.481034293,0.14803763
3,5,0.997923157,0.392857143,0.578947368,0.993556701,0.468085106,0.473836067,0.965356587,0.407962417,0.15469988
,,0.997,0.5181,0.54,0.9946,0.4711,0.4965,0.9641,0.4114,0.2208
,,0.0024,0.2220,0.1899,0.0015,0.0362,0.0377,0.0172,0.0534,0.1297
4,1,1,0.25,1,0.996908013,0.4,0.499225606,0.97795925,0.347455803,0.32394323
4,2,0.997929071,0.333333333,0.428571429,0.994846689,0.375,0.375421942,0.971251474,0.344054632,0.31021935
4,3,0.995081543,0.555555556,0.344827586,0.99304303,0.425531915,0.434432129,0.983655478,0.324300428,0.17567885
4,4,0.999222395,0.434782609,0.769230769,0.995877351,0.555555556,0.576533911,0.963182095,0.512321714,0.3839307
4,5,0.996631252,0.666666667,0.518518519,0.994845361,0.583333333,0.585429071,0.944557559,0.563346815,0.10274289
5,1,0.999741067,0,0,0.994846689,0,-0.001126043,0.956724086,0.26712724,0.98509467
5,2,0.996373996,0.4,0.363636364,0.993300696,0.380952381,0.378025698,0.929118104,0.311968989,0.21052465
5,3,1,0.375,1,0.997423344,0.545454545,0.611581767,0.990912031,0.530238445,0.48704365
5,4,0.998187468,0.263157895,0.416666667,0.994589023,0.322580645,0.328554746,0.974256589,0.262507197,0.35009962
5,5,0.998703992,0.363636364,0.615384615,0.995103093,0.457142857,0.470815114,0.970486357,0.428447818,0.30561405
6,1,0.999740933,0.380952381,0.888888889,0.996392682,0.533333333,0.580616829,0.972057735,0.48634339,0.38648218
6,2,0.998703656,0.416666667,0.666666667,0.995104355,0.512820513,0.52479459,0.982213076,0.486498406,0.26327533
6,3,0.999482536,0.3125,0.714285714,0.996650348,0.434782609,0.471125049,0.971135188,0.356564777,0.3934771
6,4,0.9992232,0.315789474,0.666666667,0.995877351,0.428571429,0.45711138,0.940861021,0.40526267,0.38564688
6,5,0.999482402,0.25,0.666666667,0.996391753,0.363636364,0.406876899,0.954111672,0.279661628,0.3649994
7,1,0.997670205,0.444444444,0.470588235,0.995104355,0.457142857,0.454873349,0.953734864,0.29917668,0.25364903
7,2,0.99766173,0.34375,0.55,0.992270033,0.423076923,0.431183849,0.967986815,0.340342665,0.14913899
7,3,0.995600414,0.529411765,0.346153846,0.993558361,0.418604651,0.425024076,0.973998295,0.381313506,0.11444254
7,4,1,0.411764706,1,0.997423344,0.583333333,0.640860213,0.987988674,0.536261674,0.48394662
7,5,1,0.5,1,0.998453608,0.666666667,0.70655899,0.931359876,0.581098712,0.41794628
8,1,0.998964803,0.352941176,0.6,0.996135017,0.444444444,0.45841422,0.964711972,0.355962888,0.25492033
8,2,0.997670807,0.529411765,0.5,0.995619686,0.514285714,0.512298483,0.986709901,0.483737431,0.104485266
8,3,0.997669601,0.315789474,0.4,0.994331358,0.352941176,0.352603995,0.983373763,0.386738444,0.31724146
8,4,0.998186998,0.45,0.5625,0.99536202,0.5,0.500828935,0.977376327,0.439688053,0.18192506
8,5,0.994555354,0.47826087,0.34375,0.991494845,0.4,0.401317951,0.940356889,0.318395656,0.08811306
9,1,0.998184647,0.36,0.5625,0.994073692,0.43902439,0.447209215,0.982411826,0.41410887,0.27087548
9,2,0.99844479,0.391304348,0.6,0.994846689,0.473684211,0.482118324,0.978700385,0.408782605,0.24998567
9,3,0.99844841,0.357142857,0.454545455,0.996135017,0.4,0.401005533,0.961616609,0.336784081,0.30494583
9,4,0.998191214,0.454545455,0.416666667,0.996650348,0.434782609,0.433518373,0.974723984,0.261250137,0.277439
9,5,0.999222193,0.391304348,0.75,0.995618557,0.514285714,0.539890191,0.950524738,0.467326274,0.16079186
